,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
49835, 55A LORONG MELAYU KEMBANGAN ESTATE SINGAPORE 416941 ,55A,KEMBANGAN ESTATE,1.32259,103.909875,416941,LORONG MELAYU,36519.9702,33870.94324
137049, 143 SARACA ROAD MIMOSA TERRACE SINGAPORE 805714 ,143,MIMOSA TERRACE,1.385423,103.85922,805714,SARACA ROAD,30882.51162,40818.56853
137567, 68 SUNRISE TERRACE ALANA SINGAPORE 806378 ,68,ALANA,1.389261,103.855453,806378,SUNRISE TERRACE,30463.25655,41242.96541
132907, 17 SPRINGLEAF RISE SPRINGLEAF GARDEN SINGAPORE 787997 ,17,SPRINGLEAF GARDEN,1.398715,103.824584,787997,SPRINGLEAF RISE,27027.90875,42288.26747
78653, 369 TAMPINES STREET 34 HDB-TAMPINES SINGAPORE 520369 ,369,HDB-TAMPINES,1.358699,103.960255,520369,TAMPINES STREET 34,42126.50383,37863.93678
106830, 89 SUNSET WAY SINGAPORE 597110 ,89,NIL,1.325497,103.765575,597110,SUNSET WAY,20460.83954,34192.31664
103904, 63 CLOVER CRESCENT LAUW AND SONS GARDEN SINGAPORE 579224 ,63,LAUW AND SONS GARDEN,1.351194,103.845667,579224,CLOVER CRESCENT,29374.23414,37033.65233
128077, 431A SEMBAWANG ROAD SEMBAWANG PARK SINGAPORE 758396 ,431A,SEMBAWANG PARK,1.428068,103.826494,758396,SEMBAWANG ROAD,27240.54811,45534.0567
123544, 15 SUNGEI KADUT WAY SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 728775 ,15,SUNGEI KADUT INDUSTRIAL ESTATE,1.407417,103.751938,728775,SUNGEI KADUT WAY,18943.41983,43250.69797
62828, 18 SIGLAP ROAD MARINE GARDEN SINGAPORE 455852 ,18,MARINE GARDEN,1.310371,103.92622,455852,SIGLAP ROAD,38339.03153,32519.92948
7261, 1 JAMBOL PLACE CHELSEA VILLAGE SINGAPORE 119328 ,1,CHELSEA VILLAGE,1.279824,103.790248,119328,JAMBOL PLACE,23206.56666,29141.98582
92343, 26 WALMER DRIVE SERANGOON GARDEN ESTATE SINGAPORE 555051 ,26,SERANGOON GARDEN ESTATE,1.364991,103.867785,555051,WALMER DRIVE,31835.75083,38559.33584
65968, 67 DUNBAR WALK FRANKEL ESTATE SINGAPORE 459370 ,67,FRANKEL ESTATE,1.315458,103.916215,459370,DUNBAR WALK,37225.57883,33082.33202
99513, 215 UPPER THOMSON ROAD THOMSON RIDGE SINGAPORE 574349 ,215,THOMSON RIDGE,1.352224,103.834995,574349,UPPER THOMSON ROAD,28186.59659,37147.53889
60635, 107 JALAN SEAVIEW SEA VIEW PARK SINGAPORE 438414 ,107,SEA VIEW PARK,1.299402,103.896291,438414,JALAN SEAVIEW,35008.30099,31306.88459
